5_3_exonuclease_1bgxt 5_3_exonuclease_1xo1a
CMAS_1kpha CMAS_1kpia
CN_hydrolase_1fo6a CN_hydrolase_1emsa
cNMP_1rgs cNMP_1cgpa
CoA_binding_2scua CoA_binding_1euda
CoA_trans_1poia CoA_trans_1k6da
CODH_1jqka CODH_1jjya
Cohesin_1aoha Cohesin_1anu
Colicin_1cola Colicin_1cii
Colicin_Pyocin_1unka Colicin_Pyocin_1bxia
CopC_1lyqa CopC_1m42a
cox_3cox cox_1gpea
COX1_2occa COX1_1ar1a
COX2_2occb COX2_1cyx
COX3_1qlec COX3_1fftc
cpa_2ctc cpa_1obr
cpn10_1p3ha cpn10_1aono
cpn60_TCP1_1kid cpn60_TCP1_1ass
CPS_1a9xa2 CPS_1bnca
CPSase_L_chain_1a9xa1 CPSase_L_chain_1gsoa
cryst_1elpa cryst_1bd7a
csp_1c9oa csp_1mjc
Cu-oxidase_1aoza Cu-oxidase_1a65a
Cu_amine_oxid_1avk Cu_amine_oxid_1ksia
Cu_bind_like_2cbp Cu_bind_like_1jer
Cu_nir_1as8a Cu_nir_1nif
CUB_1sfp CUB_1sppb
Cucumo_coat_1laja Cucumo_coat_1f15a
Cutinase_1cex Cutinase_1bs9
CYCc_1azsb CYCc_1azsa
cyclin_1vin cyclin_1jkw
cyclo_2cyha cyclo_1a58
Cyclodex_gly_tran_1pama Cyclodex_gly_tran_1qhpa
Cyclotide_1df6a Cyclotide_1k48a
cys_1mema cys_1deua
Cys-protease-3C_1cqqa Cys-protease-3C_1qa7a
Cys_knot_1hcnb Cys_knot_1fl7b
Cys_Met_Meta_PP_1cs1a Cys_Met_Meta_PP_1cl1a
cystatin_1stfi cystatin_1cewi
cyt3_2cdv cyt3_1aqe
cyt5_1cch cyt5_1ayg
cytb_1mj4a cytb_1kbia
cytc_1yea cytc_2c2c
Cytidylyl_trans_1h7ea Cytidylyl_trans_1ezia
Cytidylyltransf_1coza Cytidylyltransf_1b6ta
cyto_1bgd cyto_1rhga
CytoC_RC_6prcc CytoC_RC_1eysc
cytochr_c552_1qdba cytochr_c552_1fs8a
cytochrome_b_1bccc cytochrome_b_1bgyc
Cytochrome_C1_1bgyd Cytochrome_C1_1ezvd
Cytochrome_C1_C_1bgyd Cytochrome_C1_C_1ezvd
Cytochrome_C1_N_1bgyd Cytochrome_C1_N_1ezvd
cytprime_2ccya cytprime_1jafa
DAHP_synth_1_1fxqa DAHP_synth_1_1gg1a
Dala_Dala_ligas_1iow Dala_Dala_ligas_1ehia
Dala_Dala_ligas_C_1iow Dala_Dala_ligas_C_1ehia
Dala_Dala_ligas_N_1iow Dala_Dala_ligas_N_1ehia
DAO_1evia DAO_1c0pa
DAP_epimerase_1bwza1 DAP_epimerase_1bwza2
dCMP_cyt_deam_1jtka dCMP_cyt_deam_1ctt2
DEAD_1d9xa DEAD_1qdea
DEATH_1fada DEATH_1d2zb
DEFSN_1dfna DEFSN_1bnb
DegT_DnrJ_EryC1_1jg8a DegT_DnrJ_EryC1_1b9ia
Dehydratase_LU_1eexa Dehydratase_LU_1iwpa
Dehydratase_MU_1eexb Dehydratase_MU_1iwpb
Dehydratase_SU_1eexg Dehydratase_SU_1iwpg
DeoC_1jcla DeoC_1o0ya
DEP_1fsha DEP_1o7fa
Desulfoferrodox_1dqia Desulfoferrodox_1dfx
DHBP_synthase_1k4ia DHBP_synthase_1g57a
DHDPS_1nal1 DHDPS_1dhpa
dhfr_1dhfa dhfr_3dfr
DHH_1k20a DHH_1k23a
DHHA2_1k20a DHHA2_1k23a
DHOdehase_1h7wa DHOdehase_2dora
DHPS_1ad1a DHPS_1ajz
DHquinase_II_1d0ia DHquinase_II_2dhqa
DISIN_1fvl DISIN_2ech
DMRL_synthase_1rvva DMRL_synthase_1di0a
DNA_gyraseB_1kija DNA_gyraseB_1ei1a
DNA_gyraseB_N2_1kija DNA_gyraseB_N2_1ei1a
DNA_ligase_1fvia DNA_ligase_1a0i
DNA_ligase_C_1fvia DNA_ligase_C_1a0i
DNA_ligase_N_1dgta DNA_ligase_N_1b04a
DNA_methylase_6mhta DNA_methylase_1dcta
DNA_mis_repair_M_1h7sa DNA_mis_repair_M_1b63a
DNA_mis_repair_NM_1h7sa DNA_mis_repair_NM_1b63a
DNA_photolyase_1dnpa DNA_photolyase_1qnf
DNA_pol3_beta_2pola2 DNA_pol3_beta_2pola3
DNA_pol_B_1ih7a DNA_pol_B_1qhta
DNA_pol_B_exo_1noza DNA_pol_B_exo_1clqa
DNA_polymeraseX_1bpya DNA_polymeraseX_1jqra
DNA_PPF_1czda1 DNA_PPF_1b77a2
DNA_topoisoIV_1bjt DNA_topoisoIV_1ab4
DnaJ_1xbl DnaJ_1hdj
dNK_1jaga dNK_1j90a
dpb_1jeta dpb_1dpe
dpo1_1xwl dpo1_1t7pa
DPS_1qgha DPS_1dpsa
DSBA_1fvka DSBA_1bed
DSPc_1vhra DSPc_1mkp
dsrm_1qu6a2 dsrm_1stu
dTDP_sugar_isom_1dzra dTDP_sugar_isom_1ep0a
DUF101_1j5ua DUF101_1jw3a
DUF153_1eo1a DUF153_1o13a
DUF170_1f0za DUF170_1jsba
DUF28_1lfpa DUF28_1kona
DUF50_1ipia DUF50_1hh1a
dutpase_1dun dutpase_1dupa
Dwarfin_1ygs Dwarfin_1deva
E1_dehydrog_1qs0a E1_dehydrog_1dtwa
E2_C_1a7ge E2_C_2bopa
E2_N_1dtoa E2_N_1qqha
e3_1bbl e3_2pdd
ech_1nzya ech_1dcia
EF1BD_1b64 EF1BD_1gh8a
EF_TS_1efud2 EF_TS_1efud1
EFG_C_1dar EFG_C_1n0vc
EFG_IV_1dar EFG_IV_1n0vc
EFTU_2_1efca EFTU_2_1dar
EFTU_C_1efca EFTU_C_1d2ea
egf_1ixa egf_1rfnb
EGF_Lam_1klo2 EGF_Lam_1klo3
Egg_lysin_2lisa Egg_lysin_3lyna
eIF-1a_1d7qa eIF-1a_1jt8a
eIF-5a_2eifa eIF-5a_1bkb
eIF6_1g61a eIF6_1g62a
Elicitin_1lria Elicitin_1ljpa
END_1edn END_1srb
Endonuclease_3_1mun Endonuclease_3_2abk
endotoxin_1dlc endotoxin_1ciy
enolase_1onea enolase_1pdz
ENTH_1hx8a ENTH_1eyha
envelope_1mof envelope_1mg1a
Epimerase_1bxka Epimerase_1db3a
EPSP_syntase_1ejda EPSP_syntase_1g6sa
ERM_1ef1a ERM_1gg3a
Esterase_1dqza Esterase_1f0na
ETF_alpha_1efpa ETF_alpha_1efva
ETF_beta_1efpb ETF_beta_1efvb
ets_1flia ets_1bc8c
Exonuclease_1j54a Exonuclease_1fxxa
Extradiol_dioxy_1mpya Extradiol_dioxy_1dhy
F5_F8_type_C_1czta F5_F8_type_C_1d7pm
F_bP_aldolase_1dosa F_bP_aldolase_1gvfa
FA58C_1euu FA58C_1gof
FAA_hydrolase_1hyoa FAA_hydrolase_1gtta
fabp_1lfo fabp_1mdc
FAD-oxidase_C_1diia FAD-oxidase_C_1i19a
FAD-oxidase_NC_1diia FAD-oxidase_NC_1i19a
FAD_binding_1ja0a FAD_binding_1f20a
FAD_binding_2_1l0va FAD_binding_2_1chua
FAD_binding_4_1i19a FAD_binding_4_1vaoa
FAD_binding_5_1ffvc FAD_binding_5_1fo4a
Fapy_DNA_glyco_1l1za Fapy_DNA_glyco_1kfva
fbpase_1frpa fbpase_1bk4a
Fe-ADH_1jq5a Fe-ADH_1kq3a
Fe_Asc_oxidored_1dcs Fe_Asc_oxidored_1bk0
Fe_dep_repr_M_2dtr Fe_dep_repr_M_1fx7a
Fe_dep_repress_2dtr Fe_dep_repress_1fx7a
Fe_hyd_lg_C_1feha Fe_hyd_lg_C_1hfel
Fe_hyd_SSU_1hfes Fe_hyd_SSU_1feha
fer2_1awd fer2_1b9ra
fer4_1h98a fer4_1k0ta
fer4_NifH_2nipa fer4_NifH_1cp2a
ferritin_1rci ferritin_1bg7
Ferrochelatase_1doza Ferrochelatase_1hrka
FHA_1qu5a FHA_1g6ga
fibrinogen_C_3fib fibrinogen_C_1fzda
Filamin_1ksr Filamin_1qfha2
Fimbrial_1pdkb Fimbrial_1qunb
fkbp_1pbk fkbp_1yat
flav_1flv flav_5nll
flavbb_1gox flavbb_1fcba
Flavin_Reduct_1i0ra Flavin_Reduct_1ejea
Flavoprotein_1g63a Flavoprotein_1e20a
FN1_1tpn FN1_1fbr2
FN2_2fn2 FN2_1pdc
fn3_1fnf2 fn3_3hhrb1
FolB_1b9la FolB_1dhn
Fork_head_1d5va Fork_head_1e17a
formyl_transf_2gar formyl_transf_1fmta
Frataxin_Cyay_1ekga Frataxin_Cyay_1ew4a
FTR_1ftra1 FTR_1ftra2
Furin-like_1m6ba Furin-like_1igra
fusion_gly_1svfa fusion_gly_1svfb
FYVE_1dvpa FYVE_1vfya
Fz_1ijxa Fz_1ijya
G6PD_1dpga G6PD_1qkia
G6PD_C_1dpga G6PD_C_1qkia
G6PD_NC_1dpga G6PD_NC_1qkia
GA_1prb GA_1gjta
GAD_1c0aa GAD_1g51a
GAF_1mc0a2 GAF_1f5ma
gag_p17_1hiwa gag_p17_1ed1a
GAL4_1cld GAL4_2hapc
galpha_1gia galpha_1cjvc
GATA_7gata GATA_1gnf
GATase_1qdlb GATase_1a9xb
GATase_2_1ao0a GATase_2_1gdoa
GBP_PSP_1bqfa GBP_PSP_1hrla
gdh_1gdha gdh_2naca
GEL_1d0na2 GEL_2vil
GerE_1fsea GerE_1a04a
GFO_IDH_MocA_1ofga GFO_IDH_MocA_1gcua
GFO_IDH_MocA_C_1ofga GFO_IDH_MocA_C_1gcua
GFO_IDH_MocA_NC_1ofga GFO_IDH_MocA_NC_1gcua
GFP_1gfla GFP_1ggxa
GGL_1tbge GGL_1gp2g
ghf1_1cbg ghf1_1qvba
ghf10_1exp ghf10_1taxa
ghf11_1yna ghf11_1bk1
ghf14_1b1ya ghf14_1b9za
ghf15_1gai ghf15_1ayx
ghf16_2ayh ghf16_1gbg
ghf17_1aq0a ghf17_1ghsa
ghf18_1edt ghf18_1nar
ghf2_1bhga ghf2_1bgla
ghf22_1hml ghf22_2eql
ghf28_1bhe ghf28_1rmg
ghf33_2sli ghf33_1kit
ghf34_1ncan ghf34_1nsba
ghf46_1chka ghf46_1qgia
ghf5_1a3h ghf5_1ecea
ghf6_1tml ghf6_1bvwa
ghf7_1cela ghf7_2a39a
ghf9_1tf4b ghf9_1clc
GHMP_kinases_1h72c GHMP_kinases_1fi4a
GHMP_kinases_C_1h72c GHMP_kinases_C_1fi4a
GHMP_kinases_N_1h72c GHMP_kinases_N_1fi4a
GLA_1cfi GLA_2pf2
gln-synt_1f52a gln-synt_1htqa
gln-synt_N_1f52a gln-synt_N_1htqa
gln-synt_NC_1f52a gln-synt_NC_1htqa
glnasn_3pga1 glnasn_1wsaa
glob_1bina glob_1cg5b
Glu_syn_central_1llwa Glu_syn_central_1ea0a
Glu_synth_NTN_1llwa Glu_synth_NTN_1ea0a
GLUCAGON_1gcn GLUCAGON_1bh0
Glucosamine_iso_1deaa Glucosamine_iso_1ne7a
gluts_1hna gluts_3gtub
Gly_radical_3pfla Gly_radical_1b8ba
Glyco_hydro_18_1d2ka Glyco_hydro_18_1e9la
Glyco_hydro_18_D1_1edqa Glyco_hydro_18_D1_1e9la
Glyco_hydro_18_D2_1d2ka Glyco_hydro_18_D2_1e15a
Glyco_hydro_19_2baa Glyco_hydro_19_1dxja
Glyco_hydro_2_1dp0a1 Glyco_hydro_2_1bhga
Glyco_hydro_20_1qba Glyco_hydro_20_1hp5a
Glyco_hydro_20b_1qba Glyco_hydro_20b_1hp5a
Glyco_hydro_2_N_1dp0a Glyco_hydro_2_N_1bhga
Glyco_hydro_47_1fo3a Glyco_hydro_47_1dl2a
Glyco_hydro_48_1l1ya Glyco_hydro_48_1fce
Glyco_hydro_67_1gqia Glyco_hydro_67_1k9da
Glyco_transf_28_1f0ka Glyco_transf_28_1iira
Glyco_transf_6_1k4va Glyco_transf_6_1lzja
Glyco_transf_8_1ll3a Glyco_transf_8_1ga8a
GP120_1g9mg GP120_1g9ng
GP41_1df4a GP41_1qcea
gpdh_1hdgo gpdh_1gado
gpr_1f3g gpr_2gpr
GroEL_1oela GroEL_1a6da
grs_2tpra grs_1trb
GSH_synth_ATP_1m0wa GSH_synth_ATP_2hgsa
GSH_synthase_1m0wa GSH_synthase_2hgsa
GSH_synthase_NC_1m0wa GSH_synthase_NC_2hgsa
gtp_1kao gtp_1zbda
GTP_cyclohydroI_1fbxa GTP_cyclohydroI_1fb1a
GXGXG_1llwa GXGXG_1ea0a
Haloperoxidase_1b6g Haloperoxidase_1c4xa
Ham1p_like_2mjpa Ham1p_like_1k7ka
HATPase_c_1kija HATPase_c_1ah6
HCV_NS3_1jxpa HCV_NS3_1a1rb
helicase_C_1d9xa helicase_C_1heia
helicase_NC_1d9xa helicase_NC_1hv8a
Heme_oxygenase_1dvga Heme_oxygenase_1n45a
hemery_2mhr hemery_2hmqa
hemocyan_1hc1 hemocyan_1lla
hemopexin_1fbl hemopexin_1hxn
hexapep_1lxa hexapep_3tdt
hexokinase_1hkca1 hexokinase_1bdg
HGTP_anticodon_1evla HGTP_anticodon_1qe0a
Hint_1at0 Hint_1am2
hip_1hpi hip_3hipa
His_biosynth_1qo2a His_biosynth_1thfd
Histidine_kinase_1bxda Histidine_kinase_1b3qa
histone_1aoic histone_1aoib
HIT_4rhn HIT_4fit
hla_1hoca hla_1hsaa
HLH_1mdya HLH_1a0aa
HMA_2hqi HMA_1cpza
HMG-CoA_red_1qaya HMG-CoA_red_1dqaa
HMG_box_1hrza HMG_box_2lefa
hom_1ftz hom_1lfb
hormone_1axia hormone_1huw
hormone5_2bn2a hormone5_1l5da
hormone_rec_1lbd hormone_rec_1a28a
HPPK_1q0na HPPK_1cbka
hpr_1ptf hpr_1ka5a
Hpr_kinase_1ko7a Hpr_kinase_1jb1a
hr_2nlla hr_1lata
HSF_DNA-bind_3htsb HSF_DNA-bind_1hkt
HSP20_1shsa HSP20_1gmea
hsp90_1ah6 hsp90_1yer
HTH_AraC_1bl0a2 HTH_AraC_1d5ya1
HTH_AraC_2_1d5ya HTH_AraC_2_1bl0a
Huristasin_1skz2 Huristasin_1bx7
Hydrolase_1zrn Hydrolase_1aq6a
icd_1ipd icd_3icd
ICL_1f8ma ICL_1dqua
IF3_1tig IF3_2ifea
IF4E_1ejha IF4E_1ap8
IFN-gamma_1fyha1 IFN-gamma_1d9ca
igC1_1hsaa igC1_1b0gb
igC2_3cd42 igC2_1cid2
igcon_1pfc igcon_1cqka
igI_1vcaa igI_1itbb3
igps_1pii1 igps_1nsj
igV_1tvdb igV_1qfpa
igvar-h_6fabhv igvar-h_1bvkb
igvar-l_2fb4lv igvar-l_3hfmlv
il10_2ilk il10_1vlk
il8_1huma il8_1sdf
IMPDH_1ak5 IMPDH_1b3oa
IMS_1im4a IMS_1jx4a
Inh_1smpi Inh_1jiwi
Inos-1-P_synth_1jkia Inos-1-P_synth_1gr0a
inositol_P_1qgxa inositol_P_1inp
ins_2ins ins_6rlx
int_1lfaa int_1aoxa
intb_1afca intb_1irax
integrase_1c1aa integrase_1ihva
Integrase_Zn_1wjda Integrase_Zn_1e0ea
INTERFERON_A_B_D_1au1a INTERFERON_A_B_D_1itf
internalin_1d0ba internalin_1a9na
Invasin_1cwva3 Invasin_1cwva2
IRF_2irfg IRF_1if1a
isoamylase_N_1ehaa isoamylase_N_1bf2
isoamylase_NC_1ehaa isoamylase_NC_1bf2
Isochorismatase_1nbaa Isochorismatase_1yaca
ISP_1rie ISP_1rfs
IU_nuc_hydro_2masa IU_nuc_hydro_1ezra
Jacalin_1jaca Jacalin_1jota
KAS_1ee0a KAS_1hnja
kazal_1cgii kazal_2bus
Kchannel_3kvt Kchannel_1t1da
kex_1bcsa kex_1ac5
KH_1vih KH_1khma
kinase_1csn kinase_1b6cb
KISc_1bg2 KISc_2ncda
kringle_2hppp kringle_3kiv
KSI_1opy KSI_8cho
ku_1jeya ku_1jeyb
kunitz_1tfxc kunitz_1bf0
L15_1jj2k L15_1jj2n
lacI_1lqc lacI_1uxd
lamb_1af6a lamb_1a0tp
laminin_G_1dyka1 laminin_G_1c4ra
LBP_BPI_CETP_1bp11 LBP_BPI_CETP_1bp12
ldh_1mlda ldh_1a5z
LDLa_1cr8a LDLa_1ldr
LEM_1h9fa LEM_1jeia
leukocidin_1pvl leukocidin_7ahla
Levi_coat_1unaa Levi_coat_1qbea
lh2_1lgha lh2_1kzua
LIF_OSM_1lki LIF_OSM_1evsa
ligase-CoA_1eudb ligase-CoA_2scud
ligase-CoA_NC_2scub ligase-CoA_NC_1eudb
LIM_1ctl LIM_1iml
linker_histone_1hsta linker_histone_1ghc
lipase_1etha lipase_1bu8a
Lipase_3_3tgl Lipase_3_1tib
lipocalin_1i4ua lipocalin_1qqsa
Lipoprotein_4_1toaa Lipoprotein_4_1psza
Lipoprotein_6_1f1ma Lipoprotein_6_1g5za
lipoxygenase_1yge lipoxygenase_1byt
LMWPc_5pnt LMWPc_1d1qa
LRR_2bnh LRR_1yrga
lta_1xtca lta_1tiia
ltb_3chbd ltb_1tiid
ltn_2ltn ltn_1lu1
Lum_binding_1kzla2 Lum_binding_1i8da1
LuxS_1j98a LuxS_1inna
lyase_1_1jswa lyase_1_1yfm
Lyase_8_1cb8a Lyase_8_1egua
Lyase_8_C_1cb8a Lyase_8_C_1egua
Lyase_8_N_1cb8a Lyase_8_N_1egua
Lyase_8_NC_1cb8a Lyase_8_NC_1egua
LysR_substrate_1i6aa LysR_substrate_1al3
MAAL_1kkoa MAAL_1kd0a
MAAL_C_1kkoa MAAL_C_1kd0a
MAAL_N_1kkoa MAAL_N_1kd0a
Malate_synthase_1n8ia Malate_synthase_1d8ca
malic_1qr6a malic_1llqa
malic_C_1qr6a malic_C_1llqa
malic_N_1qr6a malic_N_1llqa
malt_amylase_NC_1bvza malt_amylase_NC_1smaa
MAP1_LC3_1eo6a MAP1_LC3_1gnua
MATH_1f3vb MATH_1flka
MBD_1ig4a MBD_1qk9a
mcp2_1vlta mcp2_2asr
MCR_alpha_1mroa MCR_alpha_1e6ya
MCR_alpha_N_1mroa MCR_alpha_N_1e6ya
MCR_alpha_NC_1mroa MCR_alpha_NC_1e6ya
MCR_beta_1mrob MCR_beta_1e6yb
MCR_beta_N_1e6vb MCR_beta_N_1e6yb
MCR_beta_NC_1mrob MCR_beta_NC_1e6yb
MCR_gamma_1mroc MCR_gamma_1e6yc
mdd_1buca mdd_1ivha
MDH_1g72b MDH_1h4ib
mdm2_1ycqa mdm2_1ycra
Me-amine-deh_L_2bbkl Me-amine-deh_L_1mdal
merR_1exja merR_1jbga
Methyltransf_1_1qnta Methyltransf_1_1mgta
Methyltransf_2_1fp2a Methyltransf_2_1fp1d
MGS_1cs0a MGS_1b93a
MHC_II_alpha_NC_1fnga MHC_II_alpha_NC_1hdma
MHC_II_beta_NC_1fngb MHC_II_beta_NC_1hdmb
MHC_II_C_1fnga MHC_II_C_1hdma
MHC_II_N_1fv1b MHC_II_N_1hdma
MIF_1gifa MIF_1dpta
MIF4G_1h6ka MIF4G_1hu3a
MIP_1ih5a MIP_1fx8a
mle_2chr mle_2mnr
MM_CoA_mutase_1be1 MM_CoA_mutase_1bmta
MM_CoA_mutase_N_1reqb MM_CoA_mutase_N_1reqa
mmo_1mtyg mmo_1mhyg
mmoa_1mtyd mmoa_1mhyd
mmob_1mtyb mmob_1mhyb
MMOB_2mob MMOB_1hqi
mmp_1mnc mmp_1bqqm
MoCF_biosynth_1jlja MoCF_biosynth_1g8la
ModA_1wod ModA_1atg
ModE_C_1b9ma ModE_C_1h9ma
mofe_3mina mofe_1miob
molybdopterin_1cxsa molybdopterin_1aa6
msb_1esl msb_1ixxb
MSP_domain_1mspa MSP_domain_1grwa
mthina_1mhu mthina_1mrt
mthinb_2mrb mthinb_2mrt
Mu_DNA_bind_1tnt Mu_DNA_bind_1qpma
Mur_ligase_1fgs Mur_ligase_1uag
Mur_ligase_C_1fgs Mur_ligase_C_4uaga
MurB_C_2mbr MurB_C_1hska
MutS_C_1ewqa MutS_C_1e3ma
